tag,ni,nj,level_i,level_j,length,supported
1,1,17,P1,P2,3.96,True
2,2,18,P1,P2,3.96,True
3,3,19,P1,P2,3.96,True
4,4,20,P1,P2,3.96,True
5,5,21,P1,P2,3.96,True
6,6,22,P1,P2,3.96,True
7,7,23,P1,P2,3.96,True
8,8,24,P1,P2,3.96,True
9,9,25,P1,P2,3.96,True
10,10,26,P1,P2,3.96,True
11,11,29,P1,P2,3.96,True
12,12,30,P1,P2,3.96,True
13,13,31,P1,P2,3.96,True
14,14,32,P1,P2,3.96,True
15,15,33,P1,P2,3.96,True
16,16,34,P1,P2,3.96,True
17,17,35,P2,P3,3.96,True
18,18,36,P2,P3,3.96,True
19,19,37,P2,P3,3.96,True
20,20,38,P2,P3,3.96,True
21,21,39,P2,P3,3.96,True
22,22,40,P2,P3,3.96,True
23,23,41,P2,P3,3.96,True
24,24,42,P2,P3,3.96,True
25,25,43,P2,P3,3.96,True
26,26,44,P2,P3,3.96,True
27,29,47,P2,P3,3.96,True
28,30,48,P2,P3,3.96,True
29,31,49,P2,P3,3.96,True
30,32,50,P2,P3,3.96,True
31,33,51,P2,P3,3.96,True
32,34,52,P2,P3,3.96,True
33,35,53,P3,P4,3.96,True
34,36,54,P3,P4,3.96,True
35,37,55,P3,P4,3.96,True
36,38,56,P3,P4,3.96,True
37,39,57,P3,P4,3.96,True
38,40,58,P3,P4,3.96,True
39,41,59,P3,P4,3.96,True
40,42,60,P3,P4,3.96,True
41,43,61,P3,P4,3.96,True
42,44,62,P3,P4,3.96,True
43,47,65,P3,P4,3.96,True
44,48,66,P3,P4,3.96,True
45,49,67,P3,P4,3.96,True
46,50,68,P3,P4,3.96,True
47,51,69,P3,P4,3.96,True
48,52,70,P3,P4,3.96,True
