tag,ni,nj,level,length,orig,kind
59,90,78,P1,3.4772474746557815,9,wall
60,78,91,P1,5.0,9,wall
61,91,14,P1,6.204081317971257,9,wall
62,14,92,P1,0.5344623466625116,9,wall
63,75,76,P1,3.6340000000000003,10,wall
64,6,4,P1,7.250199999999998,13,wall
69,91,76,P1,2.975945227990596,16,wall
127,138,119,P2,0.3640054944640258,46,wall
128,119,139,P2,6.6007575322836995,46,wall
200,185,169,P3,0.3640054944640258,50,wall
201,169,186,P3,6.6007575322836995,50,wall
264,222,208,P4,0.3640054944640258,45,wall
265,208,223,P4,3.55,45,wall
266,223,224,P4,2.906888370749727,45,wall
267,224,225,P4,0.1802775637731993,45,wall
270,227,223,P4,2.1500000000000004,47,wall
271,228,225,P4,2.254994456755936,48,wall
272,225,224,P4,0.1802775637731993,48,wall
