tag,ni,nj,level,length,orig,kind,tributary_area_m2,slab_load_kN,equivalent_line_load_kN_m,tributary_level
51,74,75,P1,1.5159999999999982,1,beam,0.0,0.0,0.0,P1
52,76,77,P1,6.344999999999999,2,beam,40.0625,150.234,23.6769,P1
53,78,74,P1,2.975945227990596,3,beam,377.25,1414.688,463.832,P1
70,101,102,P2,7.196255970989356,0,beam,0.0,0.0,0.0,P2
71,102,103,P2,0.4242640687119295,0,beam,0.0,0.0,0.0,P2
72,22,18,P2,10.0,1,beam,24.375,91.406,9.8286,P2
73,18,104,P2,5.008991914547277,2,beam,5.8541,21.953,4.6258,P2
74,104,105,P2,2.2104524423746383,2,beam,2.5834,9.688,4.6258,P2
75,106,24,P2,2.210000000000001,3,beam,1.875,7.031,3.7802,P2
76,24,107,P2,5.008991914547278,4,beam,6.875,25.781,5.5444,P2
77,107,25,P2,5.008991914547278,4,beam,6.875,25.781,5.5444,P2
78,25,108,P2,5.008991914547277,5,beam,6.875,25.781,5.5444,P2
79,108,26,P2,5.008991914547277,5,beam,6.875,25.781,5.5444,P2
80,26,33,P2,5.0,6,beam,6.875,25.781,5.9956,P2
81,20,19,P2,10.0,7,beam,47.75,179.062,19.254,P2
82,19,109,P2,4.700000004255318,8,beam,12.5,46.875,10.7759,P2
83,110,111,P2,2.2104524423746352,9,beam,4.5484,17.057,8.4052,P2
84,111,23,P2,2.527888454817579,9,beam,5.2016,19.506,8.4052,P2
85,23,112,P2,4.700000004255318,10,beam,12.5,46.875,10.7759,P2
86,113,30,P2,4.700000004255318,11,beam,12.5,46.875,10.7759,P2
87,30,114,P2,4.700000004255322,12,beam,12.5,46.875,10.7759,P2
88,115,27,P2,4.700000000000003,13,beam,12.5,46.875,10.7759,P2
89,27,34,P2,5.0,14,beam,12.5,46.875,10.9012,P2
90,21,17,P2,10.0,15,beam,25.875,97.031,10.4335,P2
91,17,116,P2,5.00900389698391,16,beam,6.875,25.781,5.5444,P2
92,116,31,P2,5.008991914547278,16,beam,6.875,25.781,5.5444,P2
